주차장명칭,구분,DGM_AR,주차면수,유료/무료,주소,lon,lat,geometry,category,소유주체
부암마을앞,피서지,713,40,무료,봉강 조령 429-4,127.5637717,35.0624297,POINT (127.5637717 35.0624297),주차장,"시, 도유지"
하조마을뒤,피서지,3389,100,무료,봉강 조령 820-1,127.5641247,35.07862328,POINT (127.5641247 35.07862328),주차장,군유지
성불계곡(Ⅰ),피서지,3210,100,무료,봉강 조령 838,127.5724099,35.08692332,POINT (127.5724099 35.08692332),주차장,군유지
성불계곡(Ⅱ),피서지,,52,무료,조령 산173-15,127.5672596,35.08124323,POINT (127.5672596 35.08124323),주차장,군유지
마시마을뒤,피서지,590,15,무료,봉강 구서 552-1,127.5668819,35.04202389,POINT (127.5668819 35.04202389),주차장,국유지
민속가든옆,피서지,720,30,무료,동곡리 446-2,127.6175272,35.06838061,POINT (127.6175272 35.06838061),주차장,군유지
논실마을입구,피서지,4702,135,무료,동곡리 1205-2,127.5992943,35.10153229,POINT (127.5992943 35.10153229),주차장,군유지
진 틀 입 구,피서지,1603,80,무료,동곡리 864,127.5963927,35.09324316,POINT (127.5963927 35.09324316),주차장,군유지
포석정위도로변,피서지,264,10,무료,동곡리 662-1,127.6048219,35.07921402,POINT (127.6048219 35.07921402),주차장,군유지
동곡산장옆,피서지,1212,60,무료,동곡리 549,127.6134168,35.07067277,POINT (127.6134168 35.07067277),주차장,군유지
하천첨주변,피서지,2381,96,무료,산남리 154-4,127.6117741,35.00275939,POINT (127.6117741 35.00275939),주차장,개인
회계분교,피서지,2090,66,무료,진상 어치 1140,127.6747186,35.09238804,POINT (127.6747186 35.09238804),주차장,군유지
회두마을입구,피서지,827,30,무료,진상 어치 914,127.6761387,35.08999996,POINT (127.6761387 35.08999996),주차장,국유지
